product,fill_fraction,polar_fill_north_60,polar_fill_south_60,g10_zero,g10_north_zero,g10_south_zero,g10_project,g10_north_project,g10_south_project,g10_polar_extend,g10_north_polar_extend,g10_south_polar_extend
phi,0.6555864197530864,0.052592592592592594,0.2978703703703704,0.30908677487484687,0.47876414602581796,-0.1696773711509711,0.46892656004759187,0.7263501460420453,-0.2574235859944534,-3.862919984780956,-3.497066933258691,-0.3658530515222652
phi_common,0.6151388888888889,,,0.43287686689900123,0.6399867710732334,-0.2071099041742322,0.7082758766224635,1.047150416135393,-0.3388745395129295,-0.21109668532442127,0.0886561825948371,-0.29975286791925837
phi_quiet,0.6221141975308642,,,0.24028622801854432,0.4882084007843671,-0.2479221727658228,0.3707434045596951,0.7532684920563634,-0.38252508749666825,-3.9317205316372585,-3.487622678500142,-0.44409785313711686
phi_quiet_common,0.5825925925925926,,,0.33856844176366363,0.6270370132246275,-0.28846857146096383,0.5638246952945553,1.044217089691336,-0.48039239439678083,-0.30540511045975877,0.07570642474623124,-0.38111153520599
hmi,0.669537037037037,0.0,0.3749074074074074,0.23647110663681903,0.34602923738514335,-0.10955813074832432,0.35248496605632007,0.5157928413703529,-0.16330787531403276,-0.18969323667534238,0.02088587327380248,-0.21057910994914486
hmi_common,0.6151388888888889,,,0.21249607615443641,0.3120019776232958,-0.09950590146885938,0.3476874282871606,0.5104996157270791,-0.16281218743991857,-0.2992603294508672,-0.014262725392252484,-0.28499760405861474
hmi_quiet,0.6483333333333333,,,0.19271077586670357,0.35115171638890413,-0.15844094052220056,0.28998488401850686,0.5284016386316144,-0.23841675461310755,-0.23345356744545787,0.026008352277563263,-0.25946191972302113
hmi_quiet_common,0.5942746913580247,,,0.16906679748795425,0.3175840707541664,-0.14851727326621214,0.27949013868405825,0.525009151990673,-0.24551901330661477,-0.34268960811734944,-0.008680632261381882,-0.33400897585596756
merged,0.6555864197530864,0.052592592592592594,0.2978703703703704,0.32910318914617304,0.5603025610545054,-0.23119937190833234,0.49929417539619786,0.8500549809920922,-0.35076080559589434,2.6777702615368004,1.7893280875073354,0.8884421740294649
merged_common,0.6151388888888889,,,0.4875382895801752,0.6705392360635509,-0.18300094648337573,0.7977132432904599,1.0971405532360738,-0.299427309945614,-0.18148504430217938,0.13007961461462103,-0.3115646589168004
merged_quiet,0.6211265432098766,,,0.1975835304330089,0.5292514386393558,-0.33166790820634684,0.3050184024803275,0.8170287673796023,-0.5120103648992748,1.984995541627883,1.7582769650921857,0.22671857653569746
merged_quiet_common,0.5814043209876543,,,0.29931752887189855,0.6262547113649022,-0.32693718249300363,0.49875686077248516,1.0435367252347456,-0.5447798644622605,-0.3697058050104559,0.08579508991597229,-0.4555008949264282
