phi_blos_file,phi_time,phi_crlt_obs,hmi_crlt_obs,phi_dsun_au,lon_separation_deg,slope,pearson_r,n_pixels
solo_L2_phi-fdt-blos_20250214T001509_V03_0542140501.fits,2025-02-14T00:15:09+00:00,-2.3963299,-6.79784,0.7626057712738353,20.90907900000002,0.6327993481378148,0.8486366737006357,71343
solo_L2_phi-fdt-blos_20250214T001649_V03_0542140502.fits,2025-02-14T00:16:49+00:00,-2.3965042,-6.79784,0.7625958629146451,20.92417900000001,0.6300198210372125,0.8500722458970041,71388
solo_L2_phi-fdt-blos_20250214T001829_V03_0542140503.fits,2025-02-14T00:18:29+00:00,-2.3966784,-6.798146,0.7625859513972414,20.829294000000004,0.6108119782831121,0.8276850722460845,71811
solo_L2_phi-fdt-blos_20250214T031509_V03_0542140504.fits,2025-02-14T03:15:09+00:00,-2.4151886,-6.799677,0.7615326813333313,20.895061,0.616089227511888,0.846613475460095,72131
solo_L2_phi-fdt-blos_20250214T061509_V03_0542140505.fits,2025-02-14T06:15:09+00:00,-2.4340876,-6.797654,0.76045620721002,20.888060999999993,0.599030346168081,0.8398494164937867,73012
solo_L2_phi-fdt-blos_20250214T091509_V03_0542140506.fits,2025-02-14T09:15:09+00:00,-2.4530251,-6.79624,0.759376471904329,20.88369399999999,0.5831129122261958,0.8290188252201868,73643
solo_L2_phi-fdt-blos_20250214T121509_V03_0542140507.fits,2025-02-14T12:15:09+00:00,-2.4720019,-6.799533,0.7582934200732243,20.876026999999993,0.5868236967258025,0.8264402103624097,73718
solo_L2_phi-fdt-blos_20250215T001509_V03_0542150501.fits,2025-02-15T00:15:09+00:00,-2.5483022,-6.841778,0.7539282369206007,20.787126,0.6065661937227685,0.8331427772269754,73525
solo_L2_phi-fdt-blos_20250215T001649_V03_0542150502.fits,2025-02-15T00:16:49+00:00,-2.5484794,-6.841778,0.753918083010997,20.80219600000001,0.6095545153469277,0.839241747554948,73713
solo_L2_phi-fdt-blos_20250215T001829_V03_0542150503.fits,2025-02-15T00:18:29+00:00,-2.5486568,-6.842056,0.7539079130608374,20.70728600000001,0.5944390854693337,0.8165216312420392,73772
solo_L2_phi-fdt-blos_20250215T031509_V03_0542150504.fits,2025-02-15T03:15:09+00:00,-2.5674751,-6.843218,0.752828753176057,20.769751999999983,0.6062021965563626,0.8343155228374501,74363
solo_L2_phi-fdt-blos_20250215T061509_V03_0542150505.fits,2025-02-15T06:15:09+00:00,-2.5866892,-6.840871,0.7517258863937293,20.759381999999988,0.5780090325799153,0.8319977040520662,75667
solo_L2_phi-fdt-blos_20250215T094509_V03_0542150506.fits,2025-02-15T09:45:09+00:00,-2.6091557,-6.839397,0.750435051210672,20.695637999999974,0.5689475105898975,0.8103846528354863,75253
solo_L2_phi-fdt-blos_20250215T121509_V03_0542150507.fits,2025-02-15T12:15:09+00:00,-2.6252372,-6.842392,0.7495102394831212,20.740628000000015,0.5789728637666084,0.8151877054165004,75506
solo_L2_phi-fdt-blos_20250215T151509_V03_0542150508.fits,2025-02-15T15:15:09+00:00,-2.644572,-6.851563,0.7483974244503936,20.721953999999982,0.5787857206279688,0.8213091397838891,76082
solo_L2_phi-fdt-blos_20250215T181509_V03_0542150509.fits,2025-02-15T18:15:09+00:00,-2.663947,-6.864422,0.7472813070880293,20.69547,0.5753101313573272,0.8258281249853999,76500
solo_L2_phi-fdt-blos_20250216T061509_V03_0542160501.fits,2025-02-16T06:15:09+00:00,-2.7418566,-6.881941,0.7427834869166892,20.60299900000001,0.5808023721152096,0.8298031808103444,77532
solo_L2_phi-fdt-blos_20250216T091509_V03_0542160502.fits,2025-02-16T09:15:09+00:00,-2.7614372,-6.880095,0.741650675401251,20.591770999999994,0.565949738453901,0.8173523917433339,78363
solo_L2_phi-fdt-blos_20250216T121509_V03_0542160503.fits,2025-02-16T12:15:09+00:00,-2.7810587,-6.883106,0.7405145598650557,20.577145,0.5721447004019617,0.8086093482154332,78511
solo_L2_phi-fdt-blos_20250216T151509_V03_0542160504.fits,2025-02-16T15:15:09+00:00,-2.8007224,-6.892135,0.739375063525854,20.55486099999999,0.5628047060672595,0.8045554031339929,78517
solo_L2_phi-fdt-blos_20250216T181509_V03_0542160505.fits,2025-02-16T18:15:09+00:00,-2.8204275,-6.904777,0.7382322428593298,20.524722999999994,0.5665052872381136,0.8140161594485293,78992
solo_L2_phi-fdt-blos_20250216T211509_V03_0542160506.fits,2025-02-16T21:15:09+00:00,-2.8401753,-6.916473,0.7370860257025369,20.490989999999982,0.5820323157350219,0.8275322796699199,78869
solo_L2_phi-fdt-blos_20250217T001509_V03_0542170501.fits,2025-02-17T00:15:09+00:00,-2.8599661,-6.923201,0.7359363959271915,20.459711,0.5998382583554679,0.8328837241485821,78779
solo_L2_phi-fdt-blos_20250217T001649_V03_0542170502.fits,2025-02-17T00:16:49+00:00,-2.8601492,-6.923201,0.7359257589534863,20.474691000000007,0.601558469584381,0.8309518928043615,78771
solo_L2_phi-fdt-blos_20250217T001829_V03_0542170503.fits,2025-02-17T00:18:29+00:00,-2.8603327,-6.923424,0.7359150939757326,20.379705,0.5918411938770386,0.8220529418121276,78650
solo_L2_phi-fdt-blos_20250217T031509_V03_0542170504.fits,2025-02-17T03:15:09+00:00,-2.8797978,-6.923847,0.734783492082732,20.435054000000008,0.6009841692702628,0.8333988773144305,79013
