ic,g10_initial,g10_final,capN_initial,capS_initial,n_reversals,first_reversal_yr,reversal_times_yr
hmi,0.07499651253207743,3.1255467586610526,-0.047130838595139515,-0.07499481285098647,2,2.058113302616748,2.058;15.241
phi_constrained,-0.1897193339123481,3.095862157248772,-1.5748040430407233,0.01902059417662983,3,0.7986706807804295,0.799;1.514;15.279
phi,0.2484581479920867,3.15694068265881,-1.2941310662290522,0.31026265538171477,2,2.358684949337565,2.359;15.201
