product,fill_fraction,polar_fill_north_60,polar_fill_south_60,g10_zero,g10_north_zero,g10_south_zero,g10_project,g10_north_project,g10_south_project,g10_polar_extend,g10_north_polar_extend,g10_south_polar_extend
phi,0.7474228395061728,0.6364814814814815,0.0,0.07971591386148483,-0.18754683084415155,0.2672627447056364,0.10595733744218341,-0.2492847648525436,0.355242102294727,-0.054891787018684995,-0.19608304694653647,0.14119125992785148
phi_common,0.0,,,,,,,,,,,
phi_quiet,0.7419444444444444,,,0.0022701812408516264,-0.23866116195160403,0.24093134319245565,0.0030226936218405442,-0.31777179681986023,0.3207944904417008,-0.1323375196393182,-0.24719737805398895,0.11485985841467075
phi_quiet_common,0.0,,,,,,,,,,,
hmi,0.7456172839506173,0.23425925925925925,0.23944444444444443,-0.01108782385587144,0.03511634064571441,-0.04620416450158585,-0.01418527213893081,0.04492629528192568,-0.05911156742085649,-0.3767678803307991,-0.15934176975556688,-0.21742611057523223
hmi_common,0.0,,,,,,,,,,,
hmi_quiet,0.7330246913580247,,,-0.04378040204258678,0.00427230975409372,-0.0480527117966805,-0.056265764100647826,0.005490693588307024,-0.06175645768895485,-0.40946045851751445,-0.19018580064718757,-0.21927465787032688
hmi_quiet_common,0.0,,,,,,,,,,,
merged,0.0,0.0,0.0,,,,,,,,,
merged_common,0.0,,,,,,,,,,,
merged_quiet,0.0,,,,,,,,,,,
merged_quiet_common,0.0,,,,,,,,,,,
