product,fill_fraction,polar_fill_north_60,polar_fill_south_60,g10_zero,g10_north_zero,g10_south_zero,g10_project,g10_north_project,g10_south_project,g10_polar_extend,g10_north_polar_extend,g10_south_polar_extend
phi,0.7442746913580247,0.7657407407407407,0.0,0.2097740162445515,-0.18348074004292347,0.39325475628747497,0.2900010426513115,-0.2536520340862956,0.5436530767376071,0.9497605882162844,-0.19238716214526275,1.1421477503615471
phi_common,0.0,,,,,,,,,,,
phi_quiet,0.7330401234567901,,,0.19303381999076286,-0.19041142405513795,0.3834452440459008,0.2680001846330399,-0.2643593584039261,0.532359543036966,0.9330203919624958,-0.19931784615747722,1.132338238119973
phi_quiet_common,0.0,,,,,,,,,,,
hmi,0.7447222222222222,0.12564814814814815,0.3426851851851852,0.08911301431430002,0.14857892877210793,-0.05946591445780791,0.11456411654019455,0.19101377999883845,-0.0764496634586439,0.015351669163719245,0.027709703445332523,-0.012358034281613278
hmi_common,0.0,,,,,,,,,,,
hmi_quiet,0.7308796296296296,,,0.022942165961091,0.13172064947417234,-0.10877848351308134,0.02965986974385726,0.17028981974091031,-0.14062994999705306,-0.05081917918948978,0.010851424147396926,-0.061670603336886703
hmi_quiet_common,0.0,,,,,,,,,,,
merged,0.0,0.0,0.0,,,,,,,,,
merged_common,0.0,,,,,,,,,,,
merged_quiet,0.0,,,,,,,,,,,
merged_quiet_common,0.0,,,,,,,,,,,
