phi_blos_file,phi_time,phi_crlt_obs,hmi_crlt_obs,phi_dsun_au,lon_separation_deg,slope,pearson_r,n_pixels
solo_L2_phi-fdt-blos_20250426T000003_V03_0544260501.fits,2025-04-26T00:00:03+00:00,16.757819,-4.664212,0.5610560462691719,167.64327500000002,,,0
solo_L2_phi-fdt-blos_20250426T020003_V03_0544260502.fits,2025-04-26T02:00:03+00:00,16.762911,-4.650962,0.5620499101248518,167.74451,,,0
solo_L2_phi-fdt-blos_20250426T040004_V03_0544260503.fits,2025-04-26T04:00:04+00:00,16.767827,-4.637918,0.5630424622962363,167.840711,,,0
solo_L2_phi-fdt-blos_20250426T060004_V03_0544260504.fits,2025-04-26T06:00:04+00:00,16.77257,-4.626472,0.5640335011015273,167.93297300000006,,,0
solo_L2_phi-fdt-blos_20250426T080004_V03_0544260505.fits,2025-04-26T08:00:04+00:00,16.777141,-4.61758,0.5650231698399147,168.02289699999994,,,0
solo_L2_phi-fdt-blos_20250426T100003_V03_0544260506.fits,2025-04-26T10:00:03+00:00,16.781541,-4.611512,0.5660113449646166,168.11282900000003,,,0
solo_L2_phi-fdt-blos_20250426T120004_V03_0544260507.fits,2025-04-26T12:00:04+00:00,16.785774,-4.607772,0.5669983806100243,168.204434,,,0
solo_L2_phi-fdt-blos_20250426T140004_V03_0544260508.fits,2025-04-26T14:00:04+00:00,16.78984,-4.605238,0.5679838545249462,168.299597,,,0
solo_L2_phi-fdt-blos_20250426T160004_V03_0544260509.fits,2025-04-26T16:00:04+00:00,16.793741,-4.602462,0.5689679578329707,168.39839299999994,,,0
solo_L2_phi-fdt-blos_20250426T180004_V03_0544260510.fits,2025-04-26T18:00:04+00:00,16.797477,-4.598054,0.5699505217840651,168.50021699999996,,,0
solo_L2_phi-fdt-blos_20250426T200004_V03_0544260511.fits,2025-04-26T20:00:04+00:00,16.801053,-4.591067,0.5709319449346032,168.60290099999997,,,0
solo_L2_phi-fdt-blos_20250426T220004_V03_0544260512.fits,2025-04-26T22:00:04+00:00,16.804468,-4.581242,0.5719118373981007,168.704606,,,0
solo_L2_phi-fdt-blos_20250427T000003_V03_0544270501.fits,2025-04-27T00:00:03+00:00,16.807723,-4.569085,0.5728900971633201,168.80337799999995,,,0
solo_L2_phi-fdt-blos_20250427T020003_V03_0544270502.fits,2025-04-27T02:00:03+00:00,16.810822,-4.555727,0.5738672187103282,168.89732200000003,,,0
solo_L2_phi-fdt-blos_20250427T040004_V03_0544270503.fits,2025-04-27T04:00:04+00:00,16.813766,-4.542616,0.574843002304885,168.986314,,,0
solo_L2_phi-fdt-blos_20250427T060004_V03_0544270504.fits,2025-04-27T06:00:04+00:00,16.816555,-4.531136,0.5758172218275324,169.07142799999997,,,0
solo_L2_phi-fdt-blos_20250427T080004_V03_0544270505.fits,2025-04-27T08:00:04+00:00,16.819192,-4.522224,0.5767900265075411,169.15424200000007,,,0
solo_L2_phi-fdt-blos_20250427T100003_V03_0544270506.fits,2025-04-27T10:00:03+00:00,16.821677,-4.516125,0.5777612835244559,169.237125,,,0
solo_L2_phi-fdt-blos_20250427T120004_V03_0544270507.fits,2025-04-27T12:00:04+00:00,16.824013,-4.512325,0.5787313794198602,169.32172200000002,,,0
solo_L2_phi-fdt-blos_20250427T140004_V03_0544270508.fits,2025-04-27T14:00:04+00:00,16.8262,-4.509688,0.5796998819187531,169.409917,,,0
solo_L2_phi-fdt-blos_20250427T160004_V03_0544270509.fits,2025-04-27T16:00:04+00:00,16.82824,-4.506765,0.5806669531018692,169.501783,,,0
solo_L2_phi-fdt-blos_20250427T180003_V03_0544270510.fits,2025-04-27T18:00:03+00:00,16.830135,-4.502181,0.5816324722961822,169.59670899999998,,,0
solo_L2_phi-fdt-blos_20250427T200004_V03_0544270511.fits,2025-04-27T20:00:04+00:00,16.831886,-4.495003,0.5825967973095822,169.69250399999999,,,0
solo_L2_phi-fdt-blos_20250428T020003_V03_0544280502.fits,2025-04-28T02:00:03+00:00,16.836288,-4.459229,0.5854804729286684,169.96662800000001,,,0
