ic,g10_initial,g10_final,capN_initial,capS_initial,n_reversals,first_reversal_yr,reversal_times_yr
hmi,0.23949370226079797,3.2170772617851924,-0.07457838041812881,0.3741831713415134,2,2.761986781762307,2.762;15.125
phi_constrained,0.2375826652282219,3.216472184177229,-0.0764947483301121,0.19822373518391054,2,2.7583311228448175,2.758;15.125
phi,0.5177618621036522,3.34679475142252,-0.018892906778502038,0.4714447784655776,2,3.421765493916938,3.422;14.957
