phi_blos_file,phi_time,phi_crlt_obs,hmi_crlt_obs,phi_dsun_au,lon_separation_deg,slope,pearson_r,n_pixels
solo_L2_phi-fdt-blos_20250620T002003_V03_0546200501.fits,2025-06-20T00:20:03+00:00,9.1205285,1.616229,0.8987138931571437,178.95115399999997,,,0
solo_L2_phi-fdt-blos_20250620T032003_V03_0546200502.fits,2025-06-20T03:20:03+00:00,9.0955653,1.634508,0.8988013968121806,178.929914,,,0
solo_L2_phi-fdt-blos_20250620T062003_V03_0546200503.fits,2025-06-20T06:20:03+00:00,9.0705789,1.647424,0.8988860039419063,178.90184999999997,,,0
solo_L2_phi-fdt-blos_20250620T092003_V03_0546200504.fits,2025-06-20T09:20:03+00:00,9.0455728,1.656017,0.8989677030561706,178.87258299999996,,,0
solo_L2_phi-fdt-blos_20250620T122003_V03_0546200505.fits,2025-06-20T12:20:03+00:00,9.0205423,1.663865,0.8990465099609269,178.84796699999998,,,0
solo_L2_phi-fdt-blos_20250620T152003_V03_0546200506.fits,2025-06-20T15:20:03+00:00,8.9954904,1.674981,0.8991224147346972,178.83155,,,0
solo_L2_phi-fdt-blos_20250620T182003_V03_0546200507.fits,2025-06-20T18:20:03+00:00,8.9704145,1.691447,0.8991954255599776,178.82178799999997,,,0
solo_L2_phi-fdt-blos_20250620T212003_V03_0546200508.fits,2025-06-20T21:20:03+00:00,8.9453181,1.712191,0.899265532256777,178.81343800000002,,,0
solo_L2_phi-fdt-blos_20250621T002003_V03_0546210501.fits,2025-06-21T00:20:03+00:00,8.920198,1.733611,0.8993327439674982,178.80017700000002,,,0
solo_L2_phi-fdt-blos_20250621T032003_V03_0546210502.fits,2025-06-21T03:20:03+00:00,8.8950545,1.751701,0.8993970599279726,178.77869699999997,,,0
solo_L2_phi-fdt-blos_20250621T062003_V03_0546210503.fits,2025-06-21T06:20:03+00:00,8.8698887,1.76442,0.8994584767749371,178.75052300000004,,,0
solo_L2_phi-fdt-blos_20250621T092003_V03_0546210504.fits,2025-06-21T09:20:03+00:00,8.8446996,1.77289,0.8995169976767791,178.720906,,,0
solo_L2_phi-fdt-blos_20250621T122003_V03_0546210505.fits,2025-06-21T12:20:03+00:00,8.8194875,1.780728,0.899572621305906,178.69613100000004,,,0
solo_L2_phi-fdt-blos_20250622T095003_V03_0546220501.fits,2025-06-22T09:50:03+00:00,8.6381217,1.890259,0.8998864940950927,178.50795100000005,,,0
solo_L2_phi-fdt-blos_20250622T122003_V03_0546220502.fits,2025-06-22T12:20:03+00:00,8.616955,1.897104,0.8999133368703288,178.54254400000002,,,0
solo_L2_phi-fdt-blos_20250622T152003_V03_0546220503.fits,2025-06-22T15:20:03+00:00,8.5915325,1.908361,0.8999428947268899,178.52567700000003,,,0
solo_L2_phi-fdt-blos_20250622T182003_V03_0546220504.fits,2025-06-22T18:20:03+00:00,8.5660866,1.92498,0.899969556616637,178.51550299999997,,,0
solo_L2_phi-fdt-blos_20250622T212003_V03_0546220505.fits,2025-06-22T21:20:03+00:00,8.5406164,1.945724,0.8999933234836544,178.506551,,,0
solo_L2_phi-fdt-blos_20250623T032009_V03_0546230501.fits,2025-06-23T03:20:09+00:00,8.4895896,1.984618,0.9000321802972694,178.47004900000002,,,0
solo_L2_phi-fdt-blos_20250623T062009_V03_0546230502.fits,2025-06-23T06:20:09+00:00,8.4640479,1.996935,0.9000472590903528,178.44154500000002,,,0
solo_L2_phi-fdt-blos_20250623T095009_V03_0546230503.fits,2025-06-23T09:50:09+00:00,8.4342187,2.006124,0.9000611918176921,178.35218199999997,,,0
solo_L2_phi-fdt-blos_20250623T122009_V03_0546230504.fits,2025-06-23T12:20:09+00:00,8.4128911,2.012963,0.900068731447586,178.38659500000006,,,0
solo_L2_phi-fdt-blos_20250623T152009_V03_0546230505.fits,2025-06-23T15:20:09+00:00,8.3872763,2.024286,0.9000751248536655,178.369598,,,0
solo_L2_phi-fdt-blos_20250623T182009_V03_0546230506.fits,2025-06-23T18:20:09+00:00,8.3616376,2.040973,0.9000786230917724,178.359243,,,0
solo_L2_phi-fdt-blos_20250623T212009_V03_0546230507.fits,2025-06-23T21:20:09+00:00,8.335973,2.06171,0.9000792262823698,178.35009100000002,,,0
solo_L2_phi-fdt-blos_20250624T002009_V03_0546240501.fits,2025-06-24T00:20:09+00:00,8.3102849,2.082784,0.9000769343305232,178.33623799999998,,,0
solo_L2_phi-fdt-blos_20250624T032009_V03_0546240502.fits,2025-06-24T03:20:09+00:00,8.2845728,2.100279,0.9000717474891305,178.314368,,,0
solo_L2_phi-fdt-blos_20250624T062009_V03_0546240503.fits,2025-06-24T06:20:09+00:00,8.2588343,2.112391,0.9000636650815378,178.285756,,,0
solo_L2_phi-fdt-blos_20250624T092009_V03_0546240504.fits,2025-06-24T09:20:09+00:00,8.2330723,2.120481,0.9000526880231658,178.25583999999998,,,0
solo_L2_phi-fdt-blos_20250624T122009_V03_0546240505.fits,2025-06-24T12:20:09+00:00,8.2072848,2.128273,0.9000388155106475,178.23064499999998,,,0
solo_L2_phi-fdt-blos_20250624T152009_V03_0546240506.fits,2025-06-24T15:20:09+00:00,8.1814705,2.139658,0.900022046566382,178.213418,,,0
solo_L2_phi-fdt-blos_20250624T182009_V03_0546240507.fits,2025-06-24T18:20:09+00:00,8.1556342,2.15641,0.9000023844411711,178.202993,,,0
solo_L2_phi-fdt-blos_20250624T212009_V03_0546240508.fits,2025-06-24T21:20:09+00:00,8.1297715,2.177131,0.899979826156269,178.1938,,,0
solo_L2_phi-fdt-blos_20250625T002009_V03_0546250501.fits,2025-06-25T00:20:09+00:00,8.1038836,2.198078,0.8999543725301098,178.179846,,,0
solo_L2_phi-fdt-blos_20250625T032009_V03_0546250502.fits,2025-06-25T03:20:09+00:00,8.0779699,2.215366,0.8999260229432998,178.15779499999996,,,0
solo_L2_phi-fdt-blos_20250625T065009_V03_0546250503.fits,2025-06-25T06:50:09+00:00,8.0477049,2.228492,0.8998892884827537,178.06933099999998,,,0
solo_L2_phi-fdt-blos_20250625T092009_V03_0546250504.fits,2025-06-25T09:20:09+00:00,8.0260659,2.235229,0.8998606366638212,178.099219,,,0
solo_L2_phi-fdt-blos_20250625T122009_V03_0546250505.fits,2025-06-25T12:20:09+00:00,8.0000761,2.243002,0.8998236007637039,178.07399899999996,,,0
