product,fill_fraction,polar_fill_north_60,polar_fill_south_60,g10_zero,g10_north_zero,g10_south_zero,g10_project,g10_north_project,g10_south_project,g10_polar_extend,g10_north_polar_extend,g10_south_polar_extend
phi,0.7477006172839507,0.4521296296296296,0.04351851851851852,-0.16564849994986244,-0.07077005729236643,-0.09487844265749601,-0.2136412951004127,-0.09127403326228624,-0.12236726183812646,-0.765677650807301,-0.19375122982391588,-0.5719264209833851
phi_common,0.0,,,,,,,,,,,
phi_quiet,0.7368364197530864,,,-0.2504676477381755,-0.08764519064202797,-0.1628224570961475,-0.3242853677133496,-0.11347594442763104,-0.21080942328571858,-0.850496798595614,-0.2106263631735774,-0.6398704354220366
phi_quiet_common,0.0,,,,,,,,,,,
hmi,0.7448611111111111,0.3377777777777778,0.1313888888888889,-0.03100532875639636,-0.07560422405691065,0.044598895300514294,-0.0398368614947564,-0.09713927002152292,0.057302408526766525,-0.4642666788289284,-0.21743514837575018,-0.24683153045317824
hmi_common,0.0,,,,,,,,,,,
hmi_quiet,0.731820987654321,,,-0.09152436033187432,-0.046777866567780685,-0.044746493764093634,-0.11828637056194966,-0.06045586157466924,-0.05783050898728041,-0.5247857104044064,-0.1886087908866202,-0.33617691951778617
hmi_quiet_common,0.0,,,,,,,,,,,
merged,0.0,0.0,0.0,,,,,,,,,
merged_common,0.0,,,,,,,,,,,
merged_quiet,0.0,,,,,,,,,,,
merged_quiet_common,0.0,,,,,,,,,,,
