product,fill_fraction,polar_fill_north_60,polar_fill_south_60,g10_zero,g10_north_zero,g10_south_zero,g10_project,g10_north_project,g10_south_project,g10_polar_extend,g10_north_polar_extend,g10_south_polar_extend
phi,0.7212962962962963,0.5115740740740741,0.1212037037037037,0.39905221419141546,-0.15943676840182183,0.5584889825932373,0.5586528633544448,-0.22320339049398844,0.7818562538484332,0.2891753713929257,-0.1710913927873093,0.460266764180235
phi_common,0.0,,,,,,,,,,,
phi_quiet,0.7030555555555555,,,0.37041747534660546,-0.10800296389191688,0.47842043923852234,0.5232608398863015,-0.15256764423280397,0.6758284841191055,0.2605406325481157,-0.11965758827740436,0.3801982208255201
phi_quiet_common,0.0,,,,,,,,,,,
hmi,0.7380555555555556,0.0325,0.41,0.13238905433079035,0.27976696538072965,-0.1473779110499393,0.1736862377633019,0.36703692698055357,-0.19335068921725168,-0.1566258162197729,-0.03794594151920627,-0.11867987470056662
hmi_common,0.0,,,,,,,,,,,
hmi_quiet,0.7184413580246913,,,0.09838366937135018,0.26965575236548456,-0.17127208299413438,0.13013649613303693,0.3566857690833495,-0.22654927295031255,-0.22232203490656194,-0.04805715453445131,-0.17426488037211063
hmi_quiet_common,0.0,,,,,,,,,,,
merged,0.0,0.0,0.0,,,,,,,,,
merged_common,0.0,,,,,,,,,,,
merged_quiet,0.0,,,,,,,,,,,
merged_quiet_common,0.0,,,,,,,,,,,
