phi_blos_file,phi_time,phi_crlt_obs,hmi_crlt_obs,phi_dsun_au,lon_separation_deg,slope,pearson_r,n_pixels
solo_L2_phi-fdt-blos_20250331T160003_V03_0543310001.fits,2025-03-31T16:00:03+00:00,-8.1748565,-6.564999,0.29421272850991786,80.08033799999998,0.4492334335113817,0.549203209682549,195772
solo_L2_phi-fdt-blos_20250401T040003_V03_0544010001.fits,2025-04-01T04:00:03+00:00,-7.1925672,-6.533157,0.2945054613310242,83.30258900000001,0.47622165440221687,0.5391848301411892,191352
solo_L2_phi-fdt-blos_20250406T181003_V03_0544060501.fits,2025-04-06T18:10:03+00:00,3.9480532,-6.211952,0.32461045717356124,115.569392,0.44018957978093026,0.5769840628204851,38176
solo_L2_phi-fdt-blos_20250407T060002_V03_0544070501.fits,2025-04-07T06:00:02+00:00,4.7970075,-6.163406,0.32920470374327127,117.9937554,0.4009296125058195,0.4110748413060754,38612
solo_L2_phi-fdt-blos_20250408T060003_V03_0544080501.fits,2025-04-08T06:00:03+00:00,6.407851,-6.097004,0.33920992938827366,122.68972600000001,0.11978549540737599,0.11701762674066862,39054
solo_L2_phi-fdt-blos_20250408T180003_V03_0544080502.fits,2025-04-08T18:00:03+00:00,7.1560153,-6.079697,0.34451867932457547,124.90844100000004,-0.019170781242546033,-0.020356952181659758,32418
solo_L2_phi-fdt-blos_20250409T060003_V03_0544090501.fits,2025-04-09T06:00:03+00:00,7.8657165,-6.028848,0.3500060785873559,127.08072200000004,0.5674003299111366,0.5088498350130369,25256
solo_L2_phi-fdt-blos_20250410T060002_V03_0544100501.fits,2025-04-10T06:00:02+00:00,9.1714833,-5.958961,0.3614487203571929,131.17467699999997,0.31983450043098066,0.26819343340032703,14124
solo_L2_phi-fdt-blos_20250410T180003_V03_0544100502.fits,2025-04-10T18:00:03+00:00,9.76896,-5.94029,0.3673709094985668,133.09975399999996,0.2293625037472584,0.231945041458758,11199
solo_L2_phi-fdt-blos_20250411T060003_V03_0544110501.fits,2025-04-11T06:00:03+00:00,10.330823,-5.887371,0.3734067392293913,134.98377700000003,0.20570430992043764,0.22462910011761386,9551
