ic,g10_initial,g10_final,capN_initial,capS_initial,n_reversals,first_reversal_yr,reversal_times_yr
hmi,0.101409718325713,3.1589128771403305,-0.08079024758762214,0.004540913374103086,2,2.359940898487382,2.360;15.199
phi_constrained,-0.2610278930563234,3.117744201570835,-1.5079414759132008,0.13492803687679572,3,0.6803164909224906,0.680;1.892;15.251
phi,0.11307127338948056,3.200773290835475,-0.9772331297934856,1.2737563339372655,2,2.6575513057385547,2.658;15.146
