time_yr,g10_hmi,polar_north_hmi,polar_south_hmi,g10_phi_constrained,polar_north_phi_constrained,polar_south_phi_constrained,g10_phi,polar_north_phi,polar_south_phi
0.0,0.101409718325713,-0.08079024758762214,0.004540913374103086,-0.2610278930563234,-1.5079414759132008,0.13492803687679572,0.11307127338948056,-0.9772331297934856,1.2737563339372655
0.07392197125256673,0.1280975382447005,-0.08435351652776177,0.07193063867374513,-0.2324544476404529,-1.6304121567810728,0.20693888148623915,0.15944053603523733,-1.0817490522251663,1.536788672529236
0.14784394250513347,0.1552524823900363,-0.10390801514066678,0.1623507131782091,-0.2033412750106725,-1.7713632453927615,0.30278249571330423,0.20561286672791684,-1.2016696811700063,1.6522079569514223
0.22176591375770022,0.18265583531651314,-0.15115510911869154,0.2552650229636122,-0.17392662628847277,-1.917626394725392,0.40203651186614353,0.25131399471012406,-1.3239518811639237,1.762484855519267
0.29568788501026694,0.21008078663397556,-0.21878602549671264,0.35307928853975407,-0.14444562694154428,-2.0627934740353826,0.5071700491181753,0.29627889207941516,-1.4425896744997753,1.8732083439242855
0.36960985626283366,0.23729027814031764,-0.29684718432830026,0.4553028150974509,-0.11514185551659917,-2.2015460899658286,0.6177455639412811,0.3402400535874137,-1.5524504446036251,1.9821564496728443
0.44353182751540043,0.26403563609166597,-0.37661927113908894,0.5596687767453314,-0.08626964854162043,-2.328779918632419,0.7315441657853178,0.38292432325435,-1.6484398805009084,2.085215034021249
0.5174537987679672,0.2900560951092751,-0.45106498118226274,0.6631013544404498,-0.05809479711344476,-2.4399597013950394,0.8455313639000536,0.4240516484587431,-1.7258067210184072,2.1779808562174336
0.5913757700205339,0.31507926324145485,-0.5149002341370359,0.7623894416832304,-0.030894172765291307,-2.5315616804217496,0.9565281330443314,0.4633352208538322,-1.780671434255943,2.256409953913516
0.6652977412731006,0.3388225692510784,-0.5644829399144059,0.8546508340343177,-0.00495433620972241,-2.601234561227459,1.0616723803240462,0.5004829223142111,-1.8104426985386328,2.3171982185755735
0.7392197125256673,0.3609956514664727,-0.5975472143395908,0.9376369259284959,0.019430802861127368,-2.6477012188597198,1.1587212527202866,0.5351998991278465,-1.8139827145140874,2.35803798186063
0.813141683778234,0.3813035605329093,-0.6128715400817846,1.0099025872863912,0.04196314117812852,-2.6705290219258515,1.2462191769552577,0.5671919996206449,-1.7914989926779994,2.3777567689138297
0.8870636550308009,0.39945058501270536,-0.6099797406807659,1.0708419005194976,0.06234416216272254,-2.6698947387181726,1.3235324437376643,0.5961697713001066,-1.7442480560682312,2.376312949271563
0.9609856262833676,0.4151444731544892,-0.5889364805390194,1.1205910666444954,0.08027911599440474,-2.646421245336879,1.390751710154976,0.6218527151607198,-1.6741797900181008,2.354638291592375
1.0349075975359343,0.4281008143314666,-0.5502447869405621,1.1598257210032636,0.09548136388852008,-2.601102230903197,1.4484896650364274,0.6439735237340449,-1.5836234168741636,2.3143601256343898
1.108829568788501,0.4380473555649762,-0.4948114995246919,1.1895066491317892,0.10767666216003566,-2.535285806841191,1.497627797960698,0.6622820744466558,-1.4750597560765129,2.2574722581011084
1.1827515400410678,0.44472805678263333,-0.42393259139875833,1.2106352560172418,0.1166071894237726,-2.4506719658531853,1.5390735313525545,0.6765490021865486,-1.350978673757753,2.1860305847814603
1.2566735112936345,0.44790672705337514,-0.33926091071249326,1.224066388009145,0.12203515867204345,-2.349288334588184,1.5735751903048694,0.6865687283150002,-1.21379928106804,2.101928284531748
1.3305954825462012,0.44737012735026066,-0.2427408259211032,1.2304017215314444,0.1237458992325746,-2.2334299631172736,1.6016178828487038,0.6921618732731132,-1.0658286599031805,2.006772840183045
1.404517453798768,0.44293046868530395,-0.13651448333761837,1.2299634989993353,0.12155033693466455,-2.105568736121056,1.62339992606577,0.6931770235970091,-0.9092421252566371,1.9018583211484417
1.4784394250513346,0.4344272742203568,-0.022815868595541428,1.2228325540312424,0.11528684063439659,-1.9682492278864925,1.6388736226289693,0.6894918600491384,-0.7460760943697471,1.7882089197023232
1.5523613963039014,0.42172860792530564,0.09612911440462053,1.2089276220118115,0.10482243728701084,-1.8239896774577047,1.6478272620976928,0.6810136811968031,-0.5782298401913762,1.6666639848797586
1.626283367556468,0.40473169940365217,0.2181827778761766,1.1881029774305998,0.0900534248689778,-1.6752021948398572,1.6499852877162713,0.6676793763920685,-0.40747444184346504,1.5379773543804809
