product,fill_fraction,polar_fill_north_60,polar_fill_south_60,g10_zero,g10_north_zero,g10_south_zero,g10_project,g10_north_project,g10_south_project,g10_polar_extend,g10_north_polar_extend,g10_south_polar_extend
phi,0.7377160493827161,0.0,0.6421296296296296,0.7198751543733743,0.6080379025214906,0.1118372518518837,0.9831833719519034,0.8304394889083463,0.15274388304355715,-0.8660615680405821,-1.0889371461988202,0.2228755781582381
phi_common,0.705925925925926,,,0.7564795017152598,0.6083638171199205,0.1481156845953393,1.079494114287769,0.8681334503281588,0.2113606639596102,-1.0036661262537405,-1.0886112316003904,0.08494510534664995
phi_quiet,0.7036882716049383,,,0.37707871730498643,0.44198816368298754,-0.06490944637800108,0.5236215322886285,0.6137565152846738,-0.09013498299604529,-0.7501173614857163,-0.7962462414140696,0.04612887992835332
phi_quiet_common,0.6718981481481482,,,0.413683064646872,0.44231407828141744,-0.028631013634545482,0.6006548032109605,0.6422261348173638,-0.041571331606403285,-0.8877219196988745,-0.7959203268156396,-0.09180159288323489
hmi,0.7397530864197531,0.0,0.45685185185185184,0.25544429730192497,0.3291560421106567,-0.07371174480873172,0.33548327330527206,0.43229129638768776,-0.09680802308241568,-0.2805591283446803,-0.1340497980093367,-0.14650933033534358
hmi_common,0.705925925925926,,,0.3278358963035464,0.4006205836271979,-0.07278468732365145,0.46782089892654005,0.5716844423510538,-0.10386354342451369,-0.26552478804120055,-0.12255476814508032,-0.14297001989612024
hmi_quiet,0.7189351851851852,,,0.16100252441147328,0.28261448903912906,-0.12161196462765578,0.21347624475791735,0.37472381290160417,-0.16124756814368682,-0.3750009012351319,-0.18059135108086433,-0.19440955015426759
hmi_quiet_common,0.685108024691358,,,0.23339412341309473,0.35407903055567025,-0.12068490714257551,0.33652365697366443,0.5105354345592692,-0.17401177758560477,-0.35996656093165225,-0.16909632121660795,-0.1908702397150443
merged,0.7370987654320987,0.0,0.6418518518518519,0.7009270248029149,0.6529651638037848,0.04796186099913008,0.9586971258455687,0.8930970039170416,0.06560012192852704,-1.2139630535693764,-1.2800804100421304,0.06611735647275402
merged_common,0.705925925925926,,,0.7296170755077047,0.6529651638037848,0.07665191170391988,1.0411615078909073,0.9317794461884173,0.10938206170249007,-1.2914349394299638,-1.2800804100421304,-0.01135452938783349
merged_quiet,0.7016666666666667,,,0.3347687406833345,0.47290151962884086,-0.13813277894550635,0.46599735603690956,0.658277882705095,-0.19228052666818546,-0.8644687723277442,-0.7444914888558618,-0.11997728347188241
merged_quiet_common,0.6704938271604939,,,0.3634587913881243,0.47290151962884086,-0.10944272824071655,0.5282527261911885,0.6873173049682167,-0.15906457877702834,-0.9419406581883317,-0.7444914888558618,-0.19744916933246992
